# From RFC 1345

include 646-inv.txt

0x23	0x0023	# NUMBER SIGN
0x24	0x00A4	# CURRENCY SIGN
0x40	0x0040	# COMMERCIAL AT
0x5B	0x00a1	# INVERTED EXCLAMATION MARK
0x5C	0x00d1	# LATIN CAPITAL LETTER N WITH TILDE
0x5D	0x005b	# LEFT SQUARE BRACKET
0x5E	0x00bf	# INVERTED QUESTION MARK
0x60	0x0060	# GRAVE ACCENT
0x7B	0x00b4	# ACUTE ACCENT
0x7C	0x00f1	# LATIN SMALL LETTER N WITH TILDE
0x7D	0x005d	# RIGHT SQUARE BRACKET
0x7E	0x00a8	# DIAERESIS
