# From RFC 1345

include 646-inv.txt

0x23	0x0023	# NUMBER SIGN
0x24	0x0024	# DOLLAR SIGN
0x40	0x0040	# COMMERCIAL AT
0x5B	0x2329	# LEFT-POINTING ANGLE BRACKET
0x5C	0x00a5	# YEN SIGN
0x5D	0x232a	# RIGHT-POINTING ANGLE BRACKET
0x5E	0x005E	# CIRCUMFLEX ACCENT
#0x60		UNDEFINED
0x7B	0x007B	# LEFT CURLY BRACKET
0x7C	0x007C	# VERTICAL LINE
0x7D	0x007D	# RIGHT CURLY BRACKET
#0x7E		UNDEFINED
